like your gums were replaced with green peanut butter
3.12%:  green
0.05%:  right between your like
0.05%:  like between your g
0.05%:  like your teeth were putting
0.05%:  super green between the
0.05%:  right up between your gums like
0.05%:  like the entire web
0.05%:  keeping
0.08%:  keeping you
0.05%:  keeping your
0.05%:  a pretty big
0.10%:  a pretty big green
0.05%:  like the entire green
0.05%:  in between
0.91%:  in between your teeth like
0.12%:  in between your teeth like super
0.05%:  better you
0.05%:  like some
0.05%:  like you were eating super
0.05%:  like when you get butter
0.05%:  like when you get a
0.05%:  right between your gr
0.05%:  like between your teeth a
0.05%:  between your teeth like grape
0.05%:  between your te
0.05%:  green but
0.05%:  making your lips
0.05%:  like a green butter
0.05%:  pretty gre
0.05%:  like between your gum
0.05%:  between your teeth like a rug
0.05%:  between your teeth 
0.05%:  right between your pink
0.05%:  like when you were getting
0.05%:  like you were m
0.05%:  right between your 
0.05%:  pretty huge
0.05%:  like your teeth are being put
0.05%:  like your teeth were being pun
0.05%:  getting in
0.30%:  getting in your
0.05%:  getting in your beer
0.05%:  been three
0.13%:  been three minutes
0.09%:  been three weeks
0.05%:  between your teeth like rem
0.05%:  getting in your teeth
0.05%:  pretty rough
0.05%:  between your teeth like a priest
0.05%:  time to brush up
0.05%:  between your teeth it
0.05%:  like your teeth were super
0.04%:  getting me
0.04%:  got
0.04%:  between your teeth sir
0.04%:  been there longer
0.04%:  between my
0.04%:  between your teeth like sugar
0.04%:  like you were eating butter
0.04%:  between your teeth like a trump
0.04%:  green between your g
0.04%:  like teeth
0.04%:  so
0.06%:  so green
0.04%:  green like the
0.04%:  right between your knee
0.04%:  like your teeth are m
0.04%:  between your teeth r
0.04%:  a green
0.04%:  like when you were eating
0.04%:  between your teeth like trump
0.04%:  right between your ears
0.04%:  like green teeth or
0.04%:  like butter
0.04%:  super green in
0.04%:  like you were eating sp
0.04%:  super great
0.04%:  between your teeth like a gre
0.04%:  in between your teeth like a
0.04%:  bro
0.04%:  like between your teeth in a super
0.04%:  like your teeth are pe
0.04%:  between your teeth like rust
0.04%:  like the green part
0.04%:  the biggest
0.04%:  like the web
0.04%:  like your teeth are r
0.04%:  better you see
0.04%:  more like the entire
0.04%:  like your teeth were being rap
0.04%:  between your gums there
0.04%:  in between your lips
0.04%:  like your parents
0.04%:  like your parents were
0.04%:  right between your great
0.04%:  like putting
0.04%:  like your teeth are using
0.04%:  between your teeth like per
0.04%:  between your teeth like a must
0.04%:  green or
0.04%:  like the time your
0.04%:  the best
0.04%:  like your teeth are rem
0.04%:  right between my
0.04%:  between your gums like right
0.04%:  like your teeth are being green
0.04%:  been pretty
0.04%:  like when you get green
0.04%:  between your teeth um
0.04%:  between my teeth like
0.04%:  the worst web
0.04%:  great
0.04%:  like the worst web
0.04%:  up
0.19%:  up there
0.04%:  getting between my
0.04%:  green like bro
0.04%:  like you were at
0.04%:  green between your pearl
0.04%:  between your teeth like a pir
0.04%:  like green p
0.05%:  like green pesto between
0.04%:  like green teeth but
0.04%:  like green teeth but worse
0.04%:  like green pe
0.85%:  like green peanut butter or
0.17%:  like green peanut butter with
0.06%:  like green peanut butter times
0.05%:  like green peanut butter right
0.05%:  like green peanut butter there
0.04%:  like this
0.04%:  between your teeth like g
0.09%:  between your teeth like gum is
0.04%:  like there are green
0.04%:  been like this
0.04%:  between your teeth like a string
0.04%:  broken
0.04%:  broken my
0.04%:  like your teeth are pre
0.04%:  your new best
0.04%:  like pesto between the
0.04%:  broken up
0.04%:  like your teeth were arguing
0.04%:  like an
0.08%:  like an entire
0.04%:  like green peanut butter with your
0.04%:  either
0.09%:  either green
0.04%:  between your teeth like un
0.04%:  like the green part between
0.04%:  like a green tongue
0.03%:  like you were putting green
0.03%:  between your teeth like pure
0.03%:  like a met
0.03%:  super gre
0.03%:  like you were wearing
0.03%:  like when you write
0.03%:  gre
0.03%:  like they
0.03%:  not pretty
0.03%:  like my entire
0.03%:  unlike
0.03%:  the entire
0.03%:  like your teeth are being pe
0.03%:  like there was
0.03%:  like your teeth are being p
0.03%:  between your teeth like re
0.03%:  like you were in
0.03%:  right between your gum lines
0.03%:  between your gums like it
0.03%:  between your teeth like a gr
0.03%:  like your entire teeth
0.03%:  like your teeth are un
0.03%:  green between your teeth up
0.03%:  pretty tough
0.03%:  here
0.03%:  un
0.03%:  like you were in the
0.03%:  like your teeth were green
0.03%:  in there real
0.03%:  between your teeth like mar
0.03%:  between your teeth like mer
0.03%:  green teeth
0.03%:  like your teeth are butter
0.03%:  between your gums where
0.03%:  like your teeth are begg
0.03%:  like your teeth weren
0.03%:  pretty green between them
0.03%:  not super
0.03%:  like they were
0.05%:  like they were eating
0.03%:  like your breath is
0.03%:  like your breath is green
0.03%:  like green peanut butter where
0.04%:  like green peanut butter where you
0.03%:  like your teeth are burst
0.03%:  ugly
0.03%:  like your teeth are spring
0.03%:  enough
0.03%:  like you spent
0.14%:  like you spent the entire
0.03%:  in the
0.03%:  super green in your
0.20%:  super green in your teeth
0.03%:  more like p
0.03%:  between your teeth like a rust
0.03%:  been there like ten
0.03%:  like pesto between my
0.03%:  like you were putting the
0.03%:  like your teeth are putting green
0.03%:  like between your teeth it
0.03%:  been there like two minutes
0.03%:  right between your um
0.03%:  between like
0.03%:  super ugly
0.03%:  between your teeth like er
0.03%:  right between your pearl
0.03%:  like this green
0.03%:  like your teeth were at
0.03%:  right between your large
0.03%:  like your teeth are rep
0.03%:  your teeth being
0.03%:  between your gum lines
0.03%:  getting worse by
0.94%:  getting worse by the minute
0.03%:  like your teeth are meeting
0.03%:  turning
0.04%:  turning your
0.08%:  turning your breath
0.04%:  turning your smile
0.04%:  turning your teeth
0.03%:  between you
0.03%:  right between your p
0.03%:  there between
0.03%:  pretty between
0.03%:  like between your ears
0.03%:  like the entire green part
0.03%:  like pretty
0.03%:  like when you get p
0.03%:  between your teeth like a t
0.09%:  between your teeth like a tiger
0.03%:  like your teeth are being per
0.03%:  pretty gro
0.03%:  like your teeth were being super
0.03%:  between your teeth like its
0.03%:  between your gums like there
0.03%:  like your teeth were being replaced
0.03%:  between your teeth like gum in
0.03%:  between your teeth err
0.03%:  like your teeth grew green
0.03%:  between there
0.03%:  between your teeth like a grim
0.03%:  been weeks
0.03%:  like your teeth are trump
0.03%:  been there a week
0.03%:  been like 
0.03%:  green between your gums like
0.03%:  like your teeth were put
0.03%:  like a pretty
0.05%:  like a pretty green
0.03%:  like eating
0.03%:  like between your teeth 
0.03%:  like a green tree
0.03%:  between your teeth waiting
0.03%:  like green peanut butter is
0.03%:  between your teeth like a spring
0.03%:  like you were eating there
0.03%:  like your teeth are wet
0.03%:  been there a long
0.03%:  working
0.03%:  like the time we were younger
0.03%:  between your teeth as
0.03%:  like you were eating green p
0.03%:  in between your teeth like p
0.03%:  ru
0.18%:  ruining your teeth
0.09%:  ruining your game
0.06%:  ruining the
0.06%:  ruining your breath
0.04%:  ruining my
0.03%:  worse
0.03%:  between your teeth like pir
0.03%:  like the time you put
0.03%:  right between your gums like a
0.03%:  like the green bits
0.03%:  like your teeth are t
0.03%:  between your teeth like in a super
0.03%:  like when your parents get
0.03%:  blue
0.03%:  like between your teeth p
0.03%:  like your teeth are bur
0.03%:  like your teeth are pure
0.03%:  got like
0.03%:  right between your peg
0.03%:  like when you put a
0.03%:  like your teeth are getting pre
0.03%:  like there are tiny
0.09%:  like there are tiny green
0.03%:  getting pretty
0.03%:  like when you get up
0.03%:  like the time you ate
0.03%:  like you were super
0.03%:  like a green thumb
0.03%:  between your teeth like it grew
0.03%:  like the bro
0.03%:  like your teeth are imp
0.03%:  between your teeth like straw
0.03%:  like a web
0.03%:  my
0.03%:  between your teeth like a per
0.02%:  up there in
0.04%:  up there in your
0.02%:  like your teeth are replaced
0.02%:  between your teeth like rape
0.02%:  like your teeth are burning up
0.02%:  like a big
0.10%:  like a big green
0.02%:  like the time you were br
0.02%:  like your teeth are up
0.02%:  like your teeth are smug
0.02%:  between your teeth like sir
0.02%:  like your teeth are better
0.02%:  like the most
0.02%:  getting worse the
0.02%:  green but it
0.02%:  getting between us
0.02%:  like your teeth are we
0.02%:  like the time we were out
0.02%:  ruining your meal
0.02%:  making your teeth blue
0.02%:  between your teeth like a sm
0.02%:  like you were eating three
0.02%:  like when you get water
0.02%:  like a tiny
0.06%:  like a tiny green
0.02%:  like your breath re
0.02%:  like you were using
0.02%:  like your teeth are weeping but
0.02%:  like your teeth are per
0.02%:  between your m
0.02%:  like you were eating br
0.02%:  right up in
0.05%:  right up in between
0.06%:  right up in between your g
0.04%:  right up in between your gum
0.04%:  right up in your
0.02%:  between your teeth like a tr
0.02%:  like green po
0.02%:  your turn
0.02%:  like your teeth are sp
0.02%:  like a big green tur
0.02%:  been like two
0.11%:  been like two minutes
0.02%:  like that
0.03%:  like that time
0.02%:  either super
0.02%:  between your teeth like at
0.02%:  like your teeth are bru
0.02%:  like when your butt
0.02%:  like your teeth are being re
0.02%:  like that time we
0.09%:  like that time we were
0.05%:  like that time we were younger
0.03%:  like that time we went
0.02%:  been there a minute
0.02%:  like getting a web
0.02%:  like between your gums there
0.02%:  between your teeth like us
0.02%:  like when you get super
0.02%:  like your teeth are tr
0.02%:  pretty large
0.02%:  being
0.03%:  being super
0.02%:  like one
0.02%:  like being pun
0.02%:  pretty g
0.02%:  like the entire party
0.02%:  like a green monster
0.02%:  super between your teeth r
0.02%:  like your teeth were meant
0.02%:  like your teeth were sm
0.02%:  between your teeth like super a
0.02%:  been there like a
0.02%:  between your teeth making
0.02%:  like in
0.04%:  like in your teeth but
0.02%:  bigger
0.05%:  bigger than your
0.04%:  bigger than your entire
0.02%:  like you were at the
0.02%:  making your teeth turn
0.03%:  making your teeth turn blue
0.02%:  huge
0.02%:  like your teeth want
0.02%:  like you were eating there but
0.02%:  not green
0.02%:  like pe
0.23%:  like peanut butter or
0.21%:  like peanut butter where
0.22%:  like peanut butter where your
0.13%:  like peanut butter in
0.06%:  like peanut butter in there
0.06%:  like peanut butter on
0.05%:  like peanut butter in my
0.05%:  like peanut butter where you get
0.05%:  like peanut butter with
0.05%:  like peanut butter where it
0.05%:  like peanut butter here
0.04%:  like peanut butter in the
0.04%:  like peanut butter with green
0.04%:  like peanut butter where you were
0.03%:  like peanut butter times
0.03%:  like peanut butter there
0.03%:  like peanut butter when
0.25%:  like peanut butter when you were
0.02%:  like peanut butter you
0.02%:  like peanut butter meets
0.02%:  like peanut butter with your
0.02%:  like the green between my
0.02%:  like when you get pe
0.06%:  like when you get peanut butter sm
0.02%:  between your teeth at
0.02%:  truly
0.02%:  like my teeth
0.02%:  more like a green
0.02%:  like your teeth are being r
0.02%:  green between the
0.02%:  been a
0.03%:  been a minute
0.02%:  super between your teeth like a
0.02%:  where
0.03%:  where your
0.02%:  like a green must
0.02%:  like your teeth must
0.03%:  like your teeth must be green
0.02%:  your teeth being super
0.02%:  some
0.03%:  some pretty
0.04%:  some pretty green
0.03%:  some green
0.02%:  between your teeth like a pig
0.02%:  green between your lips right
0.02%:  like peanut butter right
0.02%:  like your teeth were rap
0.02%:  like the number one
0.02%:  like between your gums right
0.02%:  between your teeth like pengu
0.02%:  between your teeth like st
0.02%:  a pretty green web
0.02%:  super green in here
0.02%:  like your teeth are gr
0.02%:  brown
0.02%:  in your must
0.02%:  super big
0.02%:  like my tongue
0.02%:  like when you get peanut butter gre
0.02%:  between your teeth in like super
0.02%:  like your teeth are being rep
0.02%:  between your teeth like an egg
0.02%:  between three
0.02%:  like your teeth are upset
0.02%:  like this web
0.02%:  got green
0.02%:  like a tree
0.03%:  like a tree growing
0.15%:  like a tree growing between
0.05%:  like a tree growing there
0.02%:  like your teeth are super wet
0.02%:  getting there
0.02%:  between your gums like a
0.02%:  going
0.02%:  getting in your sleep
0.02%:  pretty broken
0.02%:  right between your kn
0.02%:  like your teeth are big
0.03%:  like your teeth are big green
0.02%:  like the best
0.02%:  between your teeth times
0.02%:  getting super
0.02%:  like that time you
0.18%:  like that time you were
0.08%:  like that time you were super
0.02%:  not like there were
0.02%:  like when you put green
0.02%:  like between your teeth at
0.02%:  better you hear
0.02%:  between your teeth in regular
0.02%:  green with
0.02%:  like your teeth are new
0.02%:  between their
0.02%:  like when you eat p
0.02%:  like peanut butter in here
0.02%:  making you g
0.02%:  like green or
0.02%:  between your teeth like a g
0.05%:  between your teeth like a gum
0.02%:  been there so
0.02%:  pretty green between those
0.02%:  been there like super
0.02%:  between your teeth like mine
0.02%:  like green peanut butter you
0.02%:  like your teeth are reg
0.02%:  like your teeth were m
0.02%:  like the time you were at
0.02%:  between your teeth super real
0.02%:  super wet
0.02%:  like your teeth are number
0.02%:  been there like an
0.02%:  like your teeth are being pre
0.02%:  right between your up
0.02%:  right between your t
0.02%:  between your teeth in like a
0.05%:  between your teeth in like a super
0.02%:  between your teeth p
0.02%:  like your teeth are g
0.04%:  like your teeth are gum
0.02%:  true
0.02%:  ruining the meal
0.02%:  problem
0.02%:  super between your teeth in
0.02%:  your green
0.04%:  your green teeth
0.02%:  like you were eating green butter
0.02%:  like peanut butter in your must
0.02%:  between your teeth like a mut
0.02%:  between your teeth like pine
0.02%:  in your g
0.02%:  in your gum
0.02%:  like you were part
0.02%:  been three weeks now
0.02%:  like when my
0.02%:  right in
0.07%:  right in between
0.08%:  right in between your prem
0.06%:  right in between your pear
0.03%:  right in between your pre
0.03%:  right in between your g
0.04%:  right in between your gum
0.02%:  right in between your super
0.02%:  ruining your sweet
0.02%:  white
0.02%:  between your teeth like ten
0.02%:  between your teeth like pear
0.02%:  on
0.02%:  there between your lips
0.02%:  between your teeth like a w
0.02%:  right between your pe
0.02%:  super great you
0.02%:  ruining your teeth game
0.02%:  between your teeth like tur
0.02%:  like the p
0.02%:  between your t
0.02%:  right between your later
0.02%:  between your teeth u
0.02%:  between your gum line right
0.02%:  like tiny
0.07%:  like tiny green
0.03%:  like tiny green trees
0.02%:  between your teeth um like
0.02%:  making out
0.02%:  right in your
0.02%:  like you were being super
0.02%:  between your teeth like a gir
0.02%:  not like there were any better
0.02%:  like the number 
0.02%:  like tongue
0.02%:  been like eight
0.02%:  like the green parts
0.02%:  turning your teeth blue
0.02%:  between your teeth like an err
0.02%:  like your teeth are being sm
0.02%:  like three times your
0.02%:  like your teeth are spe
0.40%:  like your teeth are spewing green
0.02%:  in between your g
0.03%:  in between your gums right
0.03%:  in between your gum
0.02%:  in between your gums like
0.02%:  like you were getting super
0.02%:  between your teeth please w
0.02%:  between your teeth like a pr
0.02%:  between your teeth like raw
0.02%:  bigger than you
0.02%:  right between your k
0.02%:  like your teeth being
0.02%:  like where
0.02%:  like where your
0.02%:  time to get
0.02%:  either green or blue
0.02%:  like when you stub
0.02%:  like a big green monster
0.02%:  your new teeth
0.02%:  like the person
0.02%:  like your teeth were using
0.02%:  between your gums where it
0.02%:  getting in my
0.02%:  not like there were better
0.02%:  like your teeth grew a must
0.02%:  between your teeth like parts
0.02%:  like your teeth are w
0.02%:  like the guy
0.02%:  like a tree growing up
0.12%:  like a tree growing up between
0.03%:  like a tree growing up between them
0.02%:  like a tree growing up between the
0.02%:  like where you
0.02%:  like where you put
0.02%:  like there were some
0.02%:  like peanut butter green
0.02%:  like your teeth are prem
0.02%:  turning your breath like
0.02%:  like when you bur
0.02%:  like when your butt gets
0.02%:  rep
0.02%:  more p
0.02%:  like you were getting a
0.02%:  a green thing
0.02%:  like your teeth are rub
0.02%:  like your teeth are put
0.02%:  putting
0.03%:  putting me
0.02%:  real pretty
0.02%:  like the time your parents
0.05%:  like the time your parents were
0.02%:  like the green monster
0.02%:  in there like butter
0.02%:  like your teeth were put in
0.02%:  like you ate the
0.04%:  like you ate the entire
0.02%:  a pretty sweet
0.03%:  a pretty sweet web
0.02%:  between your teeth like eggs
0.02%:  like pesto with
0.02%:  like your teeth are resting
0.02%:  between your teeth like warm
0.02%:  like when my tongue
0.02%:  between your teeth like super in
0.02%:  between your teeth like a wet
0.02%:  like in your teeth but green
0.02%:  more like the green
0.02%:  like a super green
0.02%:  like a tongue
0.02%:  pretty un
0.02%:  like your teeth are re
0.02%:  like a butter
0.02%:  not there
0.02%:  putting your
0.02%:  super there
0.02%:  like your teeth are peering
0.02%:  right up between your gums like a
0.02%:  like you were butter
0.02%:  in your teeth like green
0.02%:  like your teeth are pun
0.02%:  like peanut butter where your g
0.02%:  like when you see
0.02%:  like your teeth were br
0.02%:  between your teeth like true
0.02%:  in between your teeth real
0.02%:  super bro
0.02%:  your regular
0.02%:  super green between your gum
0.02%:  between your teeth like a guest
0.02%:  super un
0.02%:  between your teeth like up in
0.02%:  been getting
0.02%:  super broken
0.02%:  like these
0.02%:  like you were putting a
0.02%:  between your teeth in super
0.02%:  between you teeth
0.02%:  like green sp
0.02%:  like your teeth were an
0.02%:  like your teeth were green but
0.02%:  more between
0.02%:  rem
0.02%:  like 
0.02%:  super between your teeth real
0.02%:  like there are two
0.02%:  pure
0.02%:  pure green
0.02%:  between your teeth like ap
0.02%:  between your teeth like wearing
0.02%:  between your teeth er
0.02%:  like the entire tree
0.02%:  like there are bugs
0.02%:  like green peanut butter with some
0.02%:  in your smile
0.02%:  gone
0.02%:  like peanut butter eggs
0.02%:  bug
0.02%:  like your teeth are gre
0.02%:  pretty regular
0.02%:  in your gums right
0.02%:  like tiny green teeth
0.02%:  like your teeth are being swept
0.02%:  like your teeth were getting a
0.02%:  either between
0.03%:  either between your lips
0.02%:  got like three
0.02%:  like that time we were young
0.02%:  right between two
0.02%:  like my teeth were
0.02%:  the best email
0.01%:  like your teeth are er
0.01%:  like when you get gre
0.01%:  like your teeth are em
0.01%:  like your teeth are green but in
0.01%:  like the tree
0.01%:  like your teeth are being sp
0.01%:  like your teeth grew up
0.01%:  like peanut butter is
0.01%:  like gre
0.01%:  between your teeth up until
0.01%:  been getting worse
0.01%:  in your m
0.01%:  like the time we were young
0.01%:  like your teeth are prime
0.01%:  between yours
0.01%:  like peanut butter when you get
0.01%:  like when you meet up
0.01%:  green in
0.10%:  green in there
0.01%:  like the pesto between
0.01%:  like a huge
0.02%:  like a huge green
0.01%:  in there like your
0.01%:  working pretty
0.01%:  making the
0.02%:  making the entire
0.01%:  a pretty green between
0.01%:  like when you sne
0.01%:  between your teeth like a run
0.01%:  in your ear
0.01%:  more like it
0.01%:  between your teeth like is
0.01%:  big
0.01%:  right between your te
0.01%:  getting in there
0.01%:  like your teeth are b
0.10%:  like your teeth are bumper
0.01%:  like your teeth are burg
0.01%:  green between your teeth r
0.01%:  like the entire web page
0.01%:  nowhere
0.01%:  right between your en
0.01%:  right between your must
0.01%:  in between your prem
0.01%:  getting in my teeth
0.01%:  making your lips green
0.01%:  like in the
0.01%:  like your teeth are but
0.01%:  between your teeth at like
0.01%:  where you
0.06%:  where you keep
0.02%:  where you keep it
0.02%:  where you put
0.01%:  like your teeth were eating but
0.01%:  getting between your ears
0.01%:  like when you were eating p
0.01%:  tough
0.01%:  super between your teeth like it
0.01%:  been three years
0.01%:  right between your re
0.01%:  green between your gum
0.01%:  like when you use
0.01%:  like trying to eat
0.01%:  between your teeth plus
0.01%:  real green between your white
0.01%:  like the time we were at
0.01%:  pre
0.01%:  between your gums like three
0.01%:  like a tiny green tree
0.01%:  like that green
0.01%:  like you put a
0.01%:  the new
0.01%:  getting between our real
0.01%:  like your teeth were p
0.01%:  between your teeth like a grim re
0.01%:  between your teeth like a gig
0.01%:  like a mouth
0.01%:  ruining my teeth
0.01%:  between your teeth like a gun
0.01%:  like the green you
0.02%:  like the green you get
0.01%:  like where you get
0.01%:  like your teeth are being un
0.01%:  like they were eating p
0.01%:  between your teeth like part
0.01%:  like the rest
0.01%:  like we
0.01%:  been there long
0.01%:  like peanut butter when your
0.01%:  pretty green in the
0.01%:  green but you
0.01%:  there in
0.01%:  where your lips
0.09%:  where your lips meet between
0.01%:  like when you bump
0.01%:  a super
0.01%:  getting between our lips
0.01%:  like a pretty big
0.02%:  like a pretty big green
0.01%:  like a green thing
0.01%:  right up between your gum lines
0.01%:  in your right
0.01%:  between your lips where
0.01%:  between your teeth like a rem
0.01%:  like between your teeth r
0.01%:  teeth
0.01%:  like it grew
0.02%:  like it grew there or
0.01%:  like that time we were out
0.01%:  between your teeth like t
0.01%:  between your teeth like a pige
0.01%:  your entire
0.01%:  super huge
0.01%:  between your teeth like a strip
0.01%:  like white
0.01%:  right between your gums up
0.01%:  between your teeth like grime
0.01%:  between your teeth like a penis
0.01%:  pretty gru
0.01%:  like your teeth are green but it
0.01%:  between your teeth in large
0.01%:  between your teeth like sup
0.01%:  where your lips meet in
0.01%:  like the website
0.01%:  growing
0.01%:  growing there
0.01%:  ruining your great
0.01%:  in between your teeth like a super
0.01%:  like more
0.01%:  been there like a minute
0.01%:  in between your teeth super
0.01%:  between your teeth like a 
0.01%:  making your lips wet
0.01%:  broken teeth
